bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
40166,40166A,3,-24.9450114,152.3384284,17.1,21.0,22.904761904761905,2.447544931247676,20.0,22.0,22.0,24.0,31.0,0.10685747101081329
40176,40176A,3,-24.9477232,152.3769865,22.25,21.0,24.047619047619047,5.162133187706323,18.0,21.0,24.0,25.0,43.0,0.21466296424125306
40227,40227A,3,-24.7775602,152.2573544,17.95,24.0,236.45833333333331,127.224204412548,52.0,97.5,247.5,350.0,425.0,0.5380406882645202
40253,40253A,3,-24.8858838,152.4005364,37.005,16.0,29.5,7.089898917944224,22.0,24.75,27.5,31.25,47.0,0.2403355565404822
40426,40426A,3,-24.8221647,152.3166535,19.5,14.0,38.285714285714285,18.298501710117275,10.0,28.75,34.5,43.25,89.0,0.4779459401896303
40477,40477A,3,-24.9314981,152.3388572,15.85,16.0,104.6875,58.11909468209796,36.0,61.0,90.5,145.0,230.0,0.5551674715901894
40532,40532A,3,-24.9568286,152.3607126,16.0,19.0,35.526315789473685,4.9482704167172455,25.0,33.0,36.0,39.5,42.0,0.13928464876685578
40539,40539A,3,-24.971381,152.3549228,22.5,21.0,29.904761904761905,11.040401994061456,22.0,25.0,28.0,29.0,76.0,0.36918541699887036
40552,40552A,3,-24.8365451,152.438508,54.725,11.0,345.27272727272725,21.31239502773402,310.0,336.0,351.0,361.0,375.0,0.06172626258690738
40632,40632A,3,-24.9114434,152.4462593,21.3,11.0,286.45454545454544,179.93963634306013,126.0,172.5,245.0,337.5,760.0,0.6281612185889119
40647,40647A,3,-24.8785193,152.4442363,55.725,11.0,603.0,18.41738309315414,560.0,595.0,611.0,615.5,622.0,0.030542923869244013
40962,40962A,3,-24.9177287,152.4141165,35.05,19.0,129.0,93.10269121304232,58.0,63.0,75.0,177.5,320.0,0.7217262884731963
41256,41256A,3,-24.8819088,152.4444765,55.965,16.0,507.9375,173.71642361427237,100.0,471.25,500.0,610.0,800.0,0.3420035410149327
41396,41396A,3,-24.9004175,152.4865918,29.87,11.0,377.0,127.4495978808878,10.0,371.0,415.0,435.5,465.0,0.33806259384850873
41502,41502A,3,-24.9034553,152.4780108,20.425,14.0,300.85714285714283,100.94999306043114,168.0,191.25,331.0,381.25,437.0,0.3355412874753172
41517,41517A,3,-24.8387496,152.4682501,15.5,14.0,216.64285714285717,70.25514724406827,60.0,176.25,220.0,266.25,337.0,0.32429016202339456
41529,41529A,3,-24.8208669,152.4490583,18.3,14.0,308.85714285714283,98.62271320765598,9.0,291.25,314.5,378.0,395.0,0.31931498263348373
41534,41534A,3,-24.773149,152.401359,14.6,12.0,488.1666666666667,266.4923104240562,17.0,342.5,502.5,562.5,1080.0,0.5459043573043145
